timestamp,caller,callee,duration_s,cell_tower,imei
2026-02-05T05:00:00+05:30,phone:ph02,phone:ph03,40,AZD-12,35670200026215
2026-02-17T05:05:00+05:30,phone:ph03,phone:ph02,41,AZD-12,35670300026228
2026-03-01T05:10:00+05:30,phone:ph02,phone:ph03,42,AZD-12,35670200026215
2026-03-13T05:15:00+05:30,phone:ph03,phone:ph02,43,AZD-12,35670300026228
2026-03-25T05:20:00+05:30,phone:ph02,phone:ph03,44,AZD-12,35670200026215
2026-04-06T05:25:00+05:30,phone:ph03,phone:ph02,45,AZD-12,35670300026228
2026-02-14T15:00:00+05:30,phone:ph01,phone:ph00,92,KRB-08,35670100026202
2026-04-04T03:00:00+05:30,phone:ph00,phone:ph01,61,KRB-08,35670000026189
2026-01-20T18:00:00+05:30,phone:ph04,phone:ph00,120,AZD-12,35670400026241
2026-01-21T18:00:00+05:30,phone:ph00,phone:ph04,80,KRB-08,35670000026189
2026-04-12T11:40:00+05:30,phone:ph00,phone:ph03,57,AZD-12,35670000026189
2026-04-12T11:51:00+05:30,phone:ph03,phone:ph01,68,OKH-04,35670300026228
2026-04-12T11:58:00+05:30,phone:ph03,phone:ph02,63,AZD-12,35670300026228
2026-04-12T12:04:00+05:30,phone:ph04,phone:ph03,19,OKH-04,35670400026241
2026-04-12T12:15:00+05:30,phone:ph03,phone:ph05,13,AZD-12,35670300026228
2026-04-12T12:22:00+05:30,phone:ph03,phone:ph06,37,OKH-04,35670300026228
2026-04-12T12:28:00+05:30,phone:ph07,phone:ph03,50,AZD-12,35670700026280
2026-04-12T12:38:00+05:30,phone:ph03,phone:ph08,71,OKH-04,35670300026228
2026-04-12T12:45:00+05:30,phone:ph03,phone:ph09,30,AZD-12,35670300026228
2026-04-12T12:56:00+05:30,phone:ph10,phone:ph03,73,OKH-04,35671000026319
2026-04-12T13:00:00+05:30,phone:ph03,phone:ph11,55,AZD-12,35670300026228
2026-04-12T13:11:00+05:30,phone:ph03,phone:ph12,39,OKH-04,35670300026228
2026-04-12T13:20:00+05:30,phone:ph13,phone:ph03,69,AZD-12,35671300026358
