timestamp,src_account,dst_account,amount_inr,channel,note
2026-01-21T02:00:00+05:30,acc:a11,acc:a00,58646,NEFT,produce settlement
2026-04-06T18:00:00+05:30,acc:a12,acc:a00,236064,NEFT,produce settlement
2026-03-17T01:00:00+05:30,acc:a13,acc:a00,58334,NEFT,produce settlement
2026-02-26T17:00:00+05:30,acc:a14,acc:a00,129539,NEFT,produce settlement
2026-02-28T01:00:00+05:30,acc:a15,acc:a00,45658,NEFT,produce settlement
2026-04-11T23:00:00+05:30,acc:a16,acc:a00,161882,NEFT,produce settlement
2026-01-20T02:00:00+05:30,acc:a17,acc:a00,98033,NEFT,produce settlement
2026-02-18T00:00:00+05:30,acc:a11,acc:a00,46607,NEFT,produce settlement
2026-03-05T01:00:00+05:30,acc:a12,acc:a00,268710,NEFT,produce settlement
2026-01-30T00:00:00+05:30,acc:a13,acc:a00,189431,NEFT,produce settlement
2026-02-01T18:00:00+05:30,acc:a14,acc:a00,174016,NEFT,produce settlement
2026-04-20T22:00:00+05:30,acc:a15,acc:a00,142861,NEFT,produce settlement
2026-01-13T19:00:00+05:30,acc:a16,acc:a00,124262,NEFT,produce settlement
2026-03-13T18:00:00+05:30,acc:a17,acc:a00,239550,NEFT,produce settlement
2026-02-18T00:00:00+05:30,acc:a11,acc:a00,77225,NEFT,produce settlement
2026-03-24T17:00:00+05:30,acc:a12,acc:a00,141354,NEFT,produce settlement
2026-01-13T01:00:00+05:30,acc:a13,acc:a00,236474,NEFT,produce settlement
2026-03-18T22:00:00+05:30,acc:a14,acc:a00,73731,NEFT,produce settlement
2026-04-16T18:00:00+05:30,acc:a15,acc:a00,163225,NEFT,produce settlement
2026-05-10T23:00:00+05:30,acc:a16,acc:a00,239190,NEFT,produce settlement
2026-02-24T19:00:00+05:30,acc:a17,acc:a00,68426,NEFT,produce settlement
2026-05-13T19:00:00+05:30,acc:a11,acc:a00,172618,NEFT,produce settlement
2026-04-02T18:00:00+05:30,acc:a12,acc:a00,77206,NEFT,produce settlement
2026-02-01T21:00:00+05:30,acc:a13,acc:a00,221508,NEFT,produce settlement
2026-02-15T23:00:00+05:30,acc:a14,acc:a00,242039,NEFT,produce settlement
2026-01-12T22:00:00+05:30,acc:a15,acc:a00,136281,NEFT,produce settlement
2026-04-21T00:00:00+05:30,acc:a16,acc:a00,187392,NEFT,produce settlement
2026-05-11T22:00:00+05:30,acc:a17,acc:a00,102055,NEFT,produce settlement
2026-03-16T00:00:00+05:30,acc:a11,acc:a00,215031,NEFT,produce settlement
2026-03-02T18:00:00+05:30,acc:a12,acc:a00,101531,NEFT,produce settlement
2026-05-10T02:00:00+05:30,acc:a13,acc:a00,168241,NEFT,produce settlement
2026-03-15T18:00:00+05:30,acc:a14,acc:a00,173914,NEFT,produce settlement
2026-02-08T17:00:00+05:30,acc:a15,acc:a00,248638,NEFT,produce settlement
2026-02-26T20:00:00+05:30,acc:a16,acc:a00,255483,NEFT,produce settlement
2026-05-22T18:00:00+05:30,acc:a17,acc:a00,171246,NEFT,produce settlement
2026-03-27T20:00:00+05:30,acc:a11,acc:a00,68628,NEFT,produce settlement
2026-03-20T19:00:00+05:30,acc:a12,acc:a00,130625,NEFT,produce settlement
2026-03-15T02:00:00+05:30,acc:a13,acc:a00,56279,NEFT,produce settlement
2026-04-06T19:00:00+05:30,acc:a14,acc:a00,197934,NEFT,produce settlement
2026-01-19T17:00:00+05:30,acc:a15,acc:a00,58081,NEFT,produce settlement
2026-03-18T17:00:00+05:30,acc:a16,acc:a00,219772,NEFT,produce settlement
2026-02-20T22:00:00+05:30,acc:a17,acc:a00,121666,NEFT,produce settlement
2026-03-18T21:00:00+05:30,acc:a11,acc:a00,194951,NEFT,produce settlement
2026-04-26T20:00:00+05:30,acc:a12,acc:a00,94307,NEFT,produce settlement
2026-03-07T18:00:00+05:30,acc:a13,acc:a00,91914,NEFT,produce settlement
2026-04-26T02:00:00+05:30,acc:a14,acc:a00,238617,NEFT,produce settlement
2026-05-24T01:00:00+05:30,acc:a15,acc:a00,86158,NEFT,produce settlement
2026-03-07T22:00:00+05:30,acc:a16,acc:a00,256263,NEFT,produce settlement
2026-01-31T17:00:00+05:30,acc:a17,acc:a00,99565,NEFT,produce settlement
2026-01-27T01:00:00+05:30,acc:a11,acc:a00,80929,NEFT,produce settlement
2026-03-04T17:00:00+05:30,acc:a12,acc:a00,255223,NEFT,produce settlement
2026-05-15T22:00:00+05:30,acc:a13,acc:a00,191547,NEFT,produce settlement
2026-02-26T01:00:00+05:30,acc:a14,acc:a00,120665,NEFT,produce settlement
2026-02-13T23:00:00+05:30,acc:a15,acc:a00,46514,NEFT,produce settlement
2026-03-08T00:00:00+05:30,acc:a16,acc:a00,105671,NEFT,produce settlement
2026-01-31T02:00:00+05:30,acc:a17,acc:a00,249326,NEFT,produce settlement
2026-02-02T02:00:00+05:30,acc:a11,acc:a00,81262,NEFT,produce settlement
2026-04-12T19:00:00+05:30,acc:a12,acc:a00,50577,NEFT,produce settlement
2026-03-06T20:00:00+05:30,acc:a13,acc:a00,238168,NEFT,produce settlement
2026-04-23T00:00:00+05:30,acc:a14,acc:a00,245418,NEFT,produce settlement
2026-01-17T01:00:00+05:30,acc:a15,acc:a00,93776,NEFT,produce settlement
2026-05-12T18:00:00+05:30,acc:a16,acc:a00,143852,NEFT,produce settlement
2026-02-07T18:00:00+05:30,acc:a17,acc:a00,131471,NEFT,produce settlement
2026-05-15T02:00:00+05:30,acc:a11,acc:a00,49863,NEFT,produce settlement
2026-04-23T21:00:00+05:30,acc:a12,acc:a00,243510,NEFT,produce settlement
2026-03-23T01:00:00+05:30,acc:a13,acc:a00,263242,NEFT,produce settlement
2026-04-12T00:00:00+05:30,acc:a14,acc:a00,142838,NEFT,produce settlement
2026-02-01T21:00:00+05:30,acc:a15,acc:a00,72328,NEFT,produce settlement
2026-05-10T17:00:00+05:30,acc:a16,acc:a00,98683,NEFT,produce settlement
2026-03-23T23:00:00+05:30,acc:a17,acc:a00,85889,NEFT,produce settlement
2026-04-28T22:00:00+05:30,acc:a11,acc:a00,183034,NEFT,produce settlement
2026-05-09T22:00:00+05:30,acc:a12,acc:a00,198731,NEFT,produce settlement
2026-04-02T22:00:00+05:30,acc:a13,acc:a00,52657,NEFT,produce settlement
2026-02-15T02:00:00+05:30,acc:a14,acc:a00,87244,NEFT,produce settlement
2026-04-08T00:00:00+05:30,acc:a15,acc:a00,54261,NEFT,produce settlement
2026-03-28T19:00:00+05:30,acc:a16,acc:a00,242664,NEFT,produce settlement
2026-05-25T17:00:00+05:30,acc:a17,acc:a00,179127,NEFT,produce settlement
2026-02-09T23:00:00+05:30,acc:a11,acc:a00,114248,NEFT,produce settlement
2026-04-05T02:00:00+05:30,acc:a12,acc:a00,144404,NEFT,produce settlement
2026-04-03T02:00:00+05:30,acc:a13,acc:a00,111842,NEFT,produce settlement
2026-04-03T01:00:00+05:30,acc:a14,acc:a00,196499,NEFT,produce settlement
2026-01-12T21:00:00+05:30,acc:a15,acc:a00,163274,NEFT,produce settlement
2026-02-18T22:00:00+05:30,acc:a16,acc:a00,192377,NEFT,produce settlement
2026-04-06T18:00:00+05:30,acc:a17,acc:a00,158819,NEFT,produce settlement
2026-04-01T00:00:00+05:30,acc:a11,acc:a00,224668,NEFT,produce settlement
2026-03-07T01:00:00+05:30,acc:a12,acc:a00,171703,NEFT,produce settlement
2026-03-22T22:00:00+05:30,acc:a13,acc:a00,232678,NEFT,produce settlement
2026-04-11T22:00:00+05:30,acc:a14,acc:a00,237192,NEFT,produce settlement
2026-02-22T17:00:00+05:30,acc:a15,acc:a00,77089,NEFT,produce settlement
2026-05-10T01:00:00+05:30,acc:a16,acc:a00,218372,NEFT,produce settlement
2026-02-08T02:00:00+05:30,acc:a17,acc:a00,228877,NEFT,produce settlement
2026-04-22T02:00:00+05:30,acc:a11,acc:a00,150923,NEFT,produce settlement
2026-01-23T01:00:00+05:30,acc:a12,acc:a00,79045,NEFT,produce settlement
2026-03-19T17:00:00+05:30,acc:a13,acc:a00,53108,NEFT,produce settlement
2026-02-10T00:00:00+05:30,acc:a14,acc:a00,276251,NEFT,produce settlement
2026-01-14T23:00:00+05:30,acc:a15,acc:a00,61520,NEFT,produce settlement
2026-05-21T02:00:00+05:30,acc:a16,acc:a00,164688,NEFT,produce settlement
2026-02-09T20:00:00+05:30,acc:a17,acc:a00,143136,NEFT,produce settlement
2026-02-28T18:00:00+05:30,acc:a11,acc:a00,94489,NEFT,produce settlement
2026-05-07T00:00:00+05:30,acc:a12,acc:a00,160010,NEFT,produce settlement
2026-05-01T01:00:00+05:30,acc:a13,acc:a00,167248,NEFT,produce settlement
2026-02-11T17:00:00+05:30,acc:a14,acc:a00,227113,NEFT,produce settlement
2026-04-30T21:00:00+05:30,acc:a15,acc:a00,66935,NEFT,produce settlement
2026-04-11T18:00:00+05:30,acc:a16,acc:a00,85078,NEFT,produce settlement
2026-02-23T22:00:00+05:30,acc:a17,acc:a00,198375,NEFT,produce settlement
2026-02-04T21:00:00+05:30,acc:a11,acc:a00,251833,NEFT,produce settlement
